"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2025-01-03","","6194.41015625","","","","","0.500635027885437","3.43700003623962","","169","","147","159","","","0.741864295684495","29.99","2","7","15","6","0","0","0","","","","","","","","","","","","","","",""
"Surfing","Other","","","","2025-01-03","","866.340026855469","","","","","0.307498067617416","0.782999992370605","","","","114","142","","","0.610898015004497","12.34","17","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-01-04","","7112.02001953125","","","","","0.584152519702911","3.38199996948242","","168","","145","159","","","0.727895341001202","33.81","2","11","21","1","0","0","0","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-01-05","","148534.046875","165","868","2852.592","","5.03683376312256","8.19200038909912","","84","","130","161","","","0.4901642793757","139.62","261","30","10","2","0","0","0","","","","166","73","39","15","5","5","","","","","",""
"Road Cycling","Bike","","","","2025-01-08","","36169.7890625","161","682","738.024","","1.34408414363861","7.47499990463257","","86","","127","170","","","0.569764954573719","43.54","58","10","3","7","2","1","0","","","","51","15","6","5","2","1","","","","","",""
"Easy Swim","Swim","","0.75","","2025-01-13","","2900","","","","","0.69248027589586","1.15722266560255","","54","","125","150","","","0.849201884912591","42.41","32","9","1","0","0","0","0","","","","","","","","","","","","","","",""
"Pulse HP Squad","Run","","0.833333333333333","","2025-01-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Interval/endurance ride","Bike","","2","","2025-01-15","","28961.169921875","166","636","613.064","","1.07014143466949","7.51700019836426","","84","","123","146","","","0.533834227985173","30.37","48","16","0","0","0","0","0","","","","35","24","4","1","0","0","","","","","",""
"Endurance Swim","Swim","","1","","2025-01-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pulse HP Squad","Run","","0.833333333333333","","2025-01-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
